Country,Last,,Q2/22,Q3/22,Q4/22,Q1/23
Poland,12.40,04/01/2022,9.3,8.3,7.6,7
Portugal,7.20,04/01/2022,3.7,3.5,3.2,3
Puerto Rico,5.10,03/01/2022,3.5,3,2.9,2.5
Qatar,4.66,04/01/2022,4.5,4.8,3.8,3.5
Romania,13.76,04/01/2022,11.2,10,9.6,6.5
Russia,17.80,04/01/2022,20,24,22,15
Rwanda,10.50,04/01/2022,15,10,9.5,8.7
Sao Tome and Principe,12.10,02/01/2022,15,13,10,8
Saudi Arabia,2.30,04/01/2022,1.6,1.9,1.7,1.5
Senegal,6.20,03/01/2022,8,6.7,5,3.8
Serbia,9.60,04/01/2022,8.8,8.5,7,5.8
Seychelles,2.20,04/01/2022,3,3.5,4,3.7
Sierra Leone,17.59,02/01/2022,22,18,15,8
Singapore,5.40,03/01/2022,4.3,4,3.6,2.5
Slovakia,11.80,04/01/2022,9.8,8.4,7.2,6.2
Slovenia,6.90,04/01/2022,7.2,6.5,4.8,4
Somalia,6.50,04/01/2022,7,6,6,5.3
South Africa,5.90,04/01/2022,6.3,6,5.9,5.3
South Korea,4.80,04/01/2022,5.3,5,4,3
South Sudan,-8.52,12/01/2021,35,28,22,20
Spain,8.30,04/01/2022,7.6,6.3,4.2,2
Sri Lanka,29.80,04/01/2022,17.3,15,12.5,10
Sudan,259.80,01/01/2022,180,140,100,60
Suriname,61.50,01/01/2022,45,30,25,20
Swaziland,3.30,02/01/2022,3.8,4,3.8,4
Sweden,6.40,04/01/2022,4,3.5,3,2.2
Switzerland,2.50,04/01/2022,2.3,1.8,1.6,1.2
Syria,139.46,08/01/2021,13.6,13.6,13.6,13.6
Taiwan,3.38,04/01/2022,3,3.1,1.8,1.5
Tajikistan,7.30,03/01/2022,7.5,6.5,5.8,5
Tanzania,3.80,04/01/2022,4.5,3.7,3.4,3.1
Thailand,4.65,04/01/2022,5.5,5,4.9,4.5
Togo,7.50,04/01/2022,6.5,5.3,4.7,3.4
Trinidad and Tobago,3.80,01/01/2022,3.8,3.5,3,2.9
Tunisia,7.50,04/01/2022,8,6,5,4.5
Turkey,69.97,04/01/2022,74,60,55,45
Turkmenistan,12.45,12/01/2021,20,20,20,10
Uganda,4.90,04/01/2022,4.5,5,5.2,4.8
Ukraine,16.40,04/01/2022,25,18.9,10,8
United Arab Emirates,2.50,12/01/2021,3,2.8,2.4,2
United Kingdom,9.00,04/01/2022,9.1,8.4,8.5,5.4
United States,8.30,04/01/2022,7,5.8,4.3,2.9
Uruguay,9.37,04/01/2022,9.5,7.5,6.6,6
Uzbekistan,10.38,04/01/2022,16,13,14,10
Vanuatu,0.90,09/01/2021,3.2,3.2,3.2,3.2
Venezuela,222.30,04/01/2022,350,300,250,200
Vietnam,2.64,04/01/2022,2.7,3,2.7,2.6
Zambia,11.50,04/01/2022,12,13,12.5,10
Zimbabwe,96.40,04/01/2022,95,100,110,70
